#Release 14.5 - par P.58f (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Mon Apr 06 00:03:24 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Reg_File_map.ncd
#OUTPUT FILE:      Reg_File_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,data2<18>,IOB,IO_L9N_T1_DQS_AD7N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A2,,,GND,,,,,,,,,,,,
A3,data2<16>,IOB,IO_L8N_T1_AD14N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A4,data2<15>,IOB,IO_L8P_T1_AD14P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A5,data2<6>,IOB,IO_L3N_T0_DQS_AD5N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A6,data2<5>,IOB,IO_L3P_T0_DQS_AD5P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A7,,,VCCO_35,,,35,,,,,1.80,,,,
A8,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
A9,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A10,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A11,,IOB33S,IO_L4N_T0_15,UNUSED,,15,,,,,,,,,
A12,,,GND,,,,,,,,,,,,
A13,,IOB33M,IO_L9P_T1_DQS_AD3P_15,UNUSED,,15,,,,,,,,,
A14,,IOB33S,IO_L9N_T1_DQS_AD3N_15,UNUSED,,15,,,,,,,,,
A15,,IOB33M,IO_L8P_T1_AD10P_15,UNUSED,,15,,,,,,,,,
A16,,IOB33S,IO_L8N_T1_AD10N_15,UNUSED,,15,,,,,,,,,
A17,,,VCCO_15,,,15,,,,,1.80,,,,
A18,,IOB33S,IO_L10N_T1_AD11N_15,UNUSED,,15,,,,,,,,,
B1,data2<17>,IOB,IO_L9P_T1_DQS_AD7P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B2,data2<20>,IOB,IO_L10N_T1_AD15N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B3,data2<19>,IOB,IO_L10P_T1_AD15P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B4,data2<14>,IOB,IO_L7N_T1_AD6N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B5,,,GND,,,,,,,,,,,,
B6,data2<4>,IOB,IO_L2N_T0_AD12N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B7,data2<3>,IOB,IO_L2P_T0_AD12P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B8,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
B9,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
B10,,,VCCO_16,,,16,,,,,any******,,,,
B11,,IOB33M,IO_L4P_T0_15,UNUSED,,15,,,,,,,,,
B12,,IOB33S,IO_L3N_T0_DQS_AD1N_15,UNUSED,,15,,,,,,,,,
B13,,IOB33M,IO_L2P_T0_AD8P_15,UNUSED,,15,,,,,,,,,
B14,,IOB33S,IO_L2N_T0_AD8N_15,UNUSED,,15,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,IOB33M,IO_L7P_T1_AD2P_15,UNUSED,,15,,,,,,,,,
B17,,IOB33S,IO_L7N_T1_AD2N_15,UNUSED,,15,,,,,,,,,
B18,,IOB33M,IO_L10P_T1_AD11P_15,UNUSED,,15,,,,,,,,,
C1,tmp<6>,IOB,IO_L16N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,data2<31>,IOB,IO_L16P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,data2<13>,IOB,IO_L7P_T1_AD6P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C5,data2<2>,IOB,IO_L1N_T0_AD4N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C6,data2<1>,IOB,IO_L1P_T0_AD4P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C7,data2<8>,IOB,IO_L4N_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,,IOB33M,IO_L11P_T1_SRCC_16,UNUSED,,16,,,,,,,,,
C10,,IOB33S,IO_L13N_T2_MRCC_16,UNUSED,,16,,,,,,,,,
